main_ingredients,vegetables,uncommon_seasoning,important_ingredients,purchase_frequency,purchase_location,ingredient_priority,kitchen_appliances,menu_change_frequency,daily_dish_selection,prep_time,cook_time,total_time,ingredients_per_dish
"pork,chicken,tilapia,beef,shrimp,eggs,tuyo,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,sili,mais,pineapple","laurel,calamansi,salted egg",pepper,everyday,wet market,"price,freshness","blender,pressure cooker",daily,5 to 6,10-15 minutes,40-50 minutes,50-60 minutes,4 to 6
"pork,chicken,tilapia,beef,crab,shrimp,eggs,sardines,tuyo,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,mais,potato,sweet potato",,"garlic,onion,ginger,salt",once per week,"wet market,super market,wholesaler",freshness,"microwave,blender,pressure cooker",daily,more than 6,15-20 minutes,30-40 minutes,50-60 minutes,2 to 4
"pork,chicken,tilapia,eggs,sausage/hotdog","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,mais,pineapple,potato,sweet potato","laurel,calamansi,salted egg","garlic,onion,pork",once per week,"wet market,super market,wholesaler","availability,price","food processor,deep fryer",monthly,5 to 6,10-15 minutes,30-40 minutes,40-50 minutes,4 to 6
"pork,chicken,tilapia,shrimp,tofu,eggs","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,mais,potato,sweet potato","laurel,calamansi,salted egg","onion,black pepper,salt",once per week,"wet market,wholesaler","availability,price,freshness",,daily,more than 6,20-25 minutes,30-40 minutes,30-40 minutes,4 to 6
"pork,chicken,tilapia,beef,shrimp,eggs,sardines,squid,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,sayote,kangkong,carrots,upo,sili,okra,mais,pineapple,potato,sweet potato","laurel,calamansi,salted egg",black pepper,everyday,"wet market,super market,wholesaler","price,freshness","blender,pressure cooker",daily,more than 6,15-20 minutes,20-30 minutes,1 hr - 1hr 10 mins,4 to 6
"pork,chicken,tilapia,beef,shrimp,eggs,sardines,tuyo,squid,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,mais,pineapple,potato,sweet potato","laurel,calamansi,salted egg","garlic,pork,fish",once per week,"super market,wholesaler,online shopping","availability,price,freshness",,daily,2 to 4,15-20 minutes,20-30 minutes,1 hr - 1hr 10 mins,10 to 12
"pork,shrimp,eggs,squid,rice","tomato,onion,garlic,ginger,cabbage,eggplant,string beans,carrots,potato",calamansi,"garlic,onion,salt",everyday,wholesaler,"price,freshness",,rarely change,3 to 4,20-25 minutes,50-60 minutes,1 hr - 1hr 10 mins,2 to 4
"pork,chicken,tilapia,eggs,sausage/hotdog,rice","tomato,onion,garlic,ginger,malunggay,sayote,papaya,ampalaya,tofu",laurel,"oil,garlic,onion",two times a week,wet market,"brand,freshness","microwave,oven,blender,food processor",never,3 to 4,15-20 minutes,30-40 minutes,50-60 minutes,2 to 4
"pork,chicken,tilapia","tomato,onion,garlic,ginger,string beans,carrots,sili,potato","laurel,calamansi","knorr cubes,garlic,onion",everyday,wholesaler,"brand,freshness",,monthly,5 to 6,10-15 minutes,30-40 minutes,40-50 minutes,4 to 6
"pork,chicken,sausage/hotdog,rice","tomato,onion,garlic,ginger,eggplant,string beans,carrots,upo,potato,sweet potato",,"black pepper,salt,garlic,onion",everyday,wet market,"price,freshness","oven,food processor",weekly,3 to 4,25-30 minutes,50-60 minutes,more than 1hr 10mins,6 to 8
"pork,chicken,beef,shrimp,eggs,sardines,sausage/hotdog,rice","tomato,onion,garlic,ginger,eggplant,string beans,squash,sayote,kangkong,ampalaya,carrots,upo,sili,mais,potato,sweet potato","laurel,calamansi,salted egg","pork,chicken,fish",once per week,"wet market,wholesaler","availability,brand,price,freshness","microwave,blender",daily,more than 6,15-20 minutes,30-40 minutes,30-40 minutes,6 to 8
